state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
Idaho,2013,35,7,28,0,70,13,57,0
Illinois,2013,59,40,19,0,118,71,47,0
Indiana,2013,50,13,37,0,100,31,69,0
Iowa,2013,50,26,23,0,100,47,53,0
Kansas,2013,40,9,31,0,125,35,90,0
Kentucky,2013,38,14,22,1,100,55,45,0
Louisiana,2013,39,15,24,0,105,45,58,2
Maine,2013,35,19,15,1,151,87,60,4
Maryland,2013,47,35,12,0,141,98,43,0
Massachusetts,2013,40,36,4,0,160,131,29,0
Michigan,2013,38,12,26,0,110,51,59,0
Minnesota,2013,67,39,28,0,134,73,61,0
Mississippi,2013,52,21,30,0,122,58,63,0
Missouri,2013,34,10,24,0,163,53,110,0
Montana,2013,50,23,27,0,100,37,63,0
Nebraska,2013,49,0,0,0,0,0,0,0
Nevada,2013,21,11,10,0,42,27,15,0
New Hampshire,2013,24,11,13,0,400,222,178,0
New Jersey,2013,40,24,16,0,80,48,32,0
New Mexico,2013,42,25,17,0,70,38,32,0
New York,2013,63,33,30,0,150,107,43,0
North Carolina,2013,50,18,32,0,120,43,77,0
North Dakota,2013,47,13,33,0,94,23,71,0
Ohio,2013,33,10,23,0,99,39,60,0
Oklahoma,2013,48,12,36,0,101,29,72,0
Oregon,2013,30,16,14,0,60,34,26,0
Pennsylvania,2013,50,23,27,0,203,93,110,0
Rhode Island,2013,38,32,5,1,75,69,6,0
South Carolina,2013,46,18,28,0,124,46,73,5
South Dakota,2013,35,7,28,0,70,17,53,0
Tennessee,2013,33,7,26,0,99,28,70,1
Texas,2013,31,12,19,0,150,55,95,0
Utah,2013,29,5,24,0,75,14,61,0
Vermont,2013,30,22,6,2,150,96,45,9
Virginia,2013,40,20,20,0,100,31,67,1
Washington,2013,49,26,23,0,98,55,43,0
West Virginia,2013,34,25,9,0,100,54,46,0
Wisconsin,2013,33,15,18,0,99,39,60,0
Wyoming,2013,30,4,26,0,60,8,52,0
Alabama,2014,35,11,23,1,105,37,66,1
Alaska,2014,20,7,13,0,40,14,26,0
Arizona,2014,30,12,17,0,60,24,36,0
Arkansas,2014,35,13,22,0,100,48,51,1
California,2014,40,28,11,0,80,55,25,0
Colorado,2014,35,18,17,0,65,37,28,0
Connecticut,2014,36,21,14,0,151,98,53,0
Delaware,2014,21,13,8,0,41,27,14,0
Florida,2014,40,14,26,0,120,45,74,0
Georgia,2014,56,18,38,0,180,60,119,1
Hawaii,2014,25,24,1,0,51,44,7,0
Idaho,2014,35,7,28,0,70,13,57,0
Illinois,2014,59,40,19,0,118,71,47,0
Indiana,2014,50,13,37,0,100,31,69,0
Iowa,2014,50,26,24,0,100,47,53,0
Kansas,2014,40,8,32,0,125,33,92,0
Kentucky,2014,38,14,23,1,100,54,46,0
Louisiana,2014,39,13,26,0,105,44,59,2
Maine,2014,35,19,15,1,151,89,58,4
Maryland,2014,47,36,11,0,141,98,43,0
Massachusetts,2014,40,36,4,0,160,131,29,0
Michigan,2014,38,12,26,0,110,51,59,0
Minnesota,2014,67,39,28,0,134,73,61,0
Mississippi,2014,52,20,32,0,122,57,65,0
Missouri,2014,34,9,24,0,163,52,108,0
Montana,2014,50,21,29,0,100,38,61,0
Nebraska,2014,49,0,0,49,0,0,0,0
Nevada,2014,21,11,10,0,42,27,15,0
New Hampshire,2014,24,11,13,0,400,220,179,0
New Jersey,2014,40,24,16,0,80,48,32,0
New Mexico,2014,42,25,17,0,70,37,33,0
New York,2014,63,32,29,0,150,100,40,1
North Carolina,2014,50,17,33,0,120,43,77,0
North Dakota,2014,47,14,33,0,94,23,71,0
Ohio,2014,33,10,23,0,99,39,60,0
Oklahoma,2014,48,12,36,0,101,29,72,0
Oregon,2014,30,16,14,0,60,34,26,0
Pennsylvania,2014,50,23,27,0,203,92,111,0
Rhode Island,2014,38,32,5,1,75,69,6,0
South Carolina,2014,46,18,28,0,124,46,78,0
South Dakota,2014,35,7,28,0,70,17,53,0
Tennessee,2014,33,7,26,0,99,27,71,1
Texas,2014,31,12,19,0,150,55,95,0
Utah,2014,29,5,24,0,75,14,61,0
Vermont,2014,30,21,7,2,150,93,47,10
Virginia,2014,40,19,20,0,100,33,67,0
Washington,2014,49,25,24,0,98,55,43,0
West Virginia,2014,34,24,10,0,100,53,47,0
Wisconsin,2014,33,15,18,0,99,39,60,0
Wyoming,2014,30,4,26,0,60,8,52,0
Alabama,2015,35,8,26,1,105,33,72,0
Alaska,2015,20,6,14,0,40,16,23,1
Arizona,2015,30,13,17,0,60,22,38,0
Arkansas,2015,35,11,24,0,100,36,64,0
California,2015,40,25,14,0,80,52,28,0
Colorado,2015,35,17,18,0,65,33,32,0
Connecticut,2015,36,21,15,0,151,87,64,0
Delaware,2015,21,12,9,0,41,25,16,0
Florida,2015,40,14,26,0,120,37,82,0
Georgia,2015,56,18,38,0,180,59,120,1
Hawaii,2015,25,24,1,0,51,43,8,0
Idaho,2015,35,7,28,0,70,14,56,0
Illinois,2015,59,39,20,0,118,71,47,0
Indiana,2015,50,10,40,0,100,30,70,0
Iowa,2015,50,26,24,0,100,43,57,0
Kansas,2015,40,8,32,0,125,27,98,0
Kentucky,2015,38,12,26,0,100,54,46,0
Louisiana,2015,39,13,26,0,105,44,59,2
Maine,2015,35,15,20,0,151,79,68,4
Maryland,2015,47,32,14,0,141,90,51,0
Massachusetts,2015,40,34,6,0,160,125,35,0
Michigan,2015,38,11,27,0,110,47,63,0
Minnesota,2015,67,39,28,0,134,62,72,0
Mississippi,2015,52,20,31,0,122,56,66,0
Missouri,2015,34,9,25,0,163,45,117,0
Montana,2015,50,21,29,0,100,41,59,0
Nebraska,2015,49,0,0,49,0,0,0,0
Nevada,2015,21,10,11,0,42,15,27,0
New Hampshire,2015,24,10,14,0,400,160,239,1
New Jersey,2015,40,24,16,0,80,48,32,0
New Mexico,2015,42,25,17,0,70,33,37,0
New York,2015,63,31,32,0,150,106,44,0
North Carolina,2015,50,16,34,0,120,46,74,0
North Dakota,2015,47,16,31,0,94,23,71,0
Ohio,2015,33,10,23,0,99,34,65,0
Oklahoma,2015,48,8,40,0,101,29,72,0
Oregon,2015,30,18,12,0,60,35,25,0
Pennsylvania,2015,50,20,30,0,203,84,119,0
Rhode Island,2015,38,32,5,1,75,63,11,1
South Carolina,2015,46,18,28,0,124,46,78,0
South Dakota,2015,35,8,27,0,70,12,58,0
Tennessee,2015,33,5,28,0,99,26,73,0
Texas,2015,31,11,20,0,150,52,98,0
Utah,2015,29,4,23,0,75,12,63,0
Vermont,2015,30,20,9,1,150,84,54,12
Virginia,2015,40,19,21,0,100,32,67,0
Washington,2015,49,24,25,0,98,50,43,0
West Virginia,2015,34,16,18,0,100,36,64,0
Wisconsin,2015,33,14,19,0,99,36,63,0
Wyoming,2015,30,4,26,0,60,9,51,0
Alabama,2016,35,8,26,1,105,33,72,0
Alaska,2016,20,6,14,0,40,16,23,1
Arizona,2016,30,13,17,0,60,24,36,0
Arkansas,2016,35,11,24,0,100,36,64,0
California,2016,40,25,14,0,80,52,28,0
Colorado,2016,35,17,18,0,65,34,31,0
Connecticut,2016,36,20,15,1,151,87,64,0
Delaware,2016,21,12,9,0,41,25,16,0
Florida,2016,40,14,26,0,120,39,81,0
Georgia,2016,56,17,39,0,180,61,118,1
Hawaii,2016,25,24,1,0,51,44,7,0
Idaho,2016,35,7,28,0,70,14,56,0
Illinois,2016,59,39,20,0,118,71,47,0
Indiana,2016,50,10,40,0,100,30,70,0
Iowa,2016,50,26,24,0,100,43,57,0
Kansas,2016,40,8,32,0,125,28,97,0
Kentucky,2016,38,11,27,0,100,52,44,0
Louisiana,2016,39,14,25,0,105,42,61,2
Maine,2016,35,15,20,0,151,77,70,4
Maryland,2016,47,33,14,0,141,91,50,0
Massachusetts,2016,40,33,5,0,160,123,34,0
Michigan,2016,38,11,27,0,110,46,61,0
Minnesota,2016,67,39,27,0,134,61,72,0
Mississippi,2016,52,20,32,0,122,49,73,0
Missouri,2016,34,9,25,0,163,45,117,1
Montana,2016,50,21,29,0,100,41,59,0
Nebraska,2016,49,0,0,49,0,0,0,0
Nevada,2016,21,10,11,0,42,17,25,0
New Hampshire,2016,24,10,14,0,400,160,239,1
New Jersey,2016,40,24,16,0,80,51,29,0
New Mexico,2016,42,25,17,0,70,33,37,0
